timestamp,strategy,side,reason,fill_price,qty,notional,fee,cash_after,position_after,pm_multiplier
2024-07-15,ETH With PM,BUY,SIGNAL,3491.297510742187,0.05510671779634297,192.39394666754438,0.1923939466675444,9807.413659385787,0.05510671779634297,0.25
2024-07-16,ETH With PM,BUY,SIGNAL,3445.235184448242,0.04205102844073946,144.87568272626928,0.14487568272626927,9662.393100976791,0.09715774623708243,0.25
2024-07-17,ETH With PM,SELL,STOP,3387.058065185547,0.09715774623708243,329.07892798756075,0.3290789279875608,9991.142950036365,0.0,0.25
2024-07-19,ETH With PM,BUY,SIGNAL,3507.4877307128904,0.054803767581146114,192.22354238771086,0.19222354238771086,9798.727184106267,0.054803767581146114,0.25
2024-07-20,ETH With PM,BUY,SIGNAL,3521.055057861328,0.04089414136209254,143.99052327989207,0.14399052327989206,9654.592670303095,0.09569790894323865,0.25
2024-07-21,ETH With PM,BUY,SIGNAL,3538.3737714843746,0.030411221158020987,107.60626730435213,0.10760626730435213,9546.878796731438,0.12610913010125963,0.25
2024-07-22,ETH With PM,SELL,STOP,3438.699711914063,0.12610913010125963,433.6514293489345,0.4336514293489345,9980.096574651025,0.0,0.25
2024-07-23,ETH With PM,BUY,SIGNAL,3483.7368475341796,0.05511639518580237,192.0110168120352,0.1920110168120352,9787.893546822177,0.05511639518580237,0.25
2024-07-24,ETH With PM,SELL,STOP,3334.671185791016,0.05511639518580237,183.79505489076584,0.18379505489076584,9971.504806658053,0.0,0.25
2024-09-27,ETH With PM,BUY,SIGNAL,2697.2485850830076,0.0711264499155643,191.84571639673322,0.19184571639673323,9779.467244544923,0.0711264499155643,0.25
2024-09-28,ETH With PM,BUY,SIGNAL,2678.87783203125,0.05382115044254437,144.180286814951,0.144180286814951,9635.142777443158,0.12494760035810867,0.25
2024-09-29,ETH With PM,SELL,STOP,2658.017250366211,0.12494760035810867,332.1128771437162,0.33211287714371623,9966.92354170973,0.0,0.25
2024-10-14,ETH With PM,BUY,SIGNAL,2630.214352294922,0.07290568370026823,191.75757563231946,0.19175757563231946,9774.974208501779,0.07290568370026823,0.25
2024-10-15,ETH With PM,BUY,SIGNAL,2607.324983642578,0.055304862602162136,144.1977499795374,0.1441977499795374,9630.632260772261,0.12821054630243037,0.25
2024-10-20,ETH With PM,BUY,SIGNAL,2747.7371956787106,0.037845595675780254,103.98975093095876,0.10398975093095876,9526.538520090371,0.16605614197821061,0.25
