Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_20D,LogReturn,SMA_20,SMA_50,EMA_12,EMA_26,Momentum_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Z,BB_Width,ATR_14,RangePct,Volatility_20D,Drawdown,Volume_Z,RSI_Signal,Trend_Signal,MACD_Signal_Flag,Breakout_Signal,TechnicalScore,BaseDirection,TechnicalConfidence,FinalAction,PositionSize,FinalConfidence,RiskZone,pm_hist_liq_weighted_sentiment,pm_hist_net_sentiment,pm_hist_mean_price,rolling_mean,signal
2024-03-28,189.6216278076172,189.6216278076172,190.8834686279297,180.99761962890625,186.36146545410156,2910414256,,,,,,,189.6216278076172,189.6216278076172,,,0.0,0.0,0.0,,,,,,0.052134606760433674,,0.0,,0,0,0,0,0.0,Flat,0.0,No Trade,0.0,0.0,Tradeable,0.0,0.0,0.5,,0
2024-03-29,192.2279510498047,192.2279510498047,192.96981811523438,183.6461639404297,189.6216278076172,3031009580,0.013744862715933337,,,0.013651258830140551,,,190.02260061410757,189.81468878851996,,,0.20791182558761534,0.04158236511752307,0.16632946047009228,,,,,,0.04850311374535228,,0.0,,0,0,1,0,0.25,Long,25.0,No Trade,0.0,13.444167808748325,Tradeable,0.0,0.0,0.5,,0
2024-03-30,194.3855438232422,194.3855438232422,199.73094177246094,191.21678161621094,192.2278594970703,2999311846,0.01122413656106902,,,0.011161613351331213,,,190.69382264628211,190.15327064294382,,,0.5405520033382913,0.14137629276167674,0.3991757105766146,,,,,,0.0438003772749277,,0.0,,0,0,1,0,0.25,Long,25.0,No Trade,0.0,13.442303221848773,Tradeable,0.0,0.0,0.5,,0
2024-03-31,202.87413024902344,202.87413024902344,203.02679443359375,194.0353240966797,194.37579345703125,2342185476,0.04366881538011924,,,0.04274221248603504,,,192.56771612362692,191.09555653969045,,,1.4721595839364738,0.4075329509966362,1.0646266329398375,,,,,,0.04432043812524167,,0.0,,0,0,1,0,0.25,Long,25.0,No Trade,0.0,13.399705817368233,Tradeable,0.0,0.0,0.5,,0
2024-04-01,192.5678253173828,192.5678253173828,204.1797637939453,187.4888916015625,202.8744354248047,3872515434,-0.05080147438704907,,,-0.05213730771613975,,,192.5677329226663,191.2046134861862,,,1.3631194364801047,0.5986502480933299,0.7644691883867748,,,,,,0.08667529045869198,,-0.05080147438704907,,0,0,1,0,0.25,Long,25.0,No Trade,0.0,13.061447160077648,Tradeable,0.0,0.0,0.5,,0
2024-04-02,181.17225646972656,181.17225646972656,192.56942749023438,176.132080078125,192.5678253173828,4553269015,-0.05917690989590041,-0.04455911193032802,,-0.061000159086123426,,,190.8145826991371,190.4614759294114,,,0.35310676972571287,0.5495415524198065,-0.19643478269409365,,,,,,0.0907277291369168,,-0.10697211001056817,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,12.687376099238048,Tradeable,0.0,0.0,0.5,,0
2024-04-03,185.2486114501953,185.2486114501953,191.6926727294922,177.3955078125,181.1727294921875,4160370221,0.022499885246778373,-0.036307621037905635,,0.02225049670672385,,,189.95827943006913,190.07533781983983,,,-0.11705838977070471,0.4162215639817043,-0.533279953752409,,,,,,0.07717825685746652,,-0.08687908496363339,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,12.853904623496323,Tradeable,0.0,0.0,0.5,,0
2024-04-04,183.95811462402344,183.95811462402344,190.06968688964844,180.51229858398438,185.2486114501953,4101220964,-0.006966296891886992,-0.05364302814977118,,-0.006990674819972992,,,189.03517715221594,189.62221017570528,,,-0.5870330234893402,0.2155706464874954,-0.8026036699768355,,,,,,0.05195415448346819,,-0.09324015635596816,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,12.826486090782595,Tradeable,0.0,0.0,0.5,,0
2024-04-05,174.5015106201172,174.5015106201172,184.977783203125,168.23606872558594,183.95811462402344,7398400404,-0.05140628899808963,-0.13985331493019582,,-0.05277469532880649,,,186.79922845496998,188.50215835677284,,,-1.702929901802861,-0.16812946317057587,-1.534800438632285,,,,,,0.09594022663783756,,-0.13985331493019582,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,12.47157317981891,Cautious,0.0,0.0,0.5,,0
2024-04-06,178.91534423828125,178.91534423828125,179.69752502441406,173.8743133544922,174.5015106201172,4672922789,0.025293956496301062,-0.07089699983161812,,0.02497935830055012,,,185.58632319086402,187.79202397762532,,,-2.205700786761298,-0.5756437278887203,-1.6300570588725778,,,,,,0.032547301600730584,,-0.11809680209760265,,0,0,-1,0,-0.25,Short,25.0,No Trade,0.0,12.63644134817633,Tradeable,0.0,0.0,0.5,,0
