timestamp,strategy,side,reason,fill_price,qty,notional,fee,cash_after,position_after,pm_multiplier
2024-06-05,BTC With PM,BUY,SIGNAL,71118.36172265625,0.00541052808324895,384.78789333508877,0.3847878933350888,9614.827318771577,0.00541052808324895,0.5
2024-06-06,BTC With PM,BUY,SIGNAL,70792.54264453125,0.0027288943434983517,193.18536918452716,0.19318536918452717,9421.448764217865,0.008139422426747301,0.5
2024-06-07,BTC With PM,BUY,SIGNAL,69377.25723046875,0.001468756537253241,101.89830009395065,0.10189830009395065,9319.44856582382,0.009608178964000541,0.5
2024-06-14,BTC With PM,SELL,STOP,65978.08820312501,0.009608178964000541,633.9292791582379,0.6339292791582379,9952.7439157029,0.0,0.5
2024-07-15,BTC With PM,BUY,SIGNAL,64902.587419921874,0.005900682109094799,382.9695364226942,0.3829695364226942,9569.391409743783,0.005900682109094799,0.5
2024-07-16,BTC With PM,BUY,SIGNAL,65129.697011718745,0.0014651085856743132,95.42207827423579,0.0954220782742358,9473.873909391274,0.0073657906947691126,0.25
2024-07-17,BTC With PM,SELL,STOP,64086.73357226563,0.0073657906947691126,472.04946580474143,0.47204946580474144,9945.45132573021,0.0,0.25
2024-07-19,BTC With PM,BUY,SIGNAL,66743.511328125,0.002866862401860017,191.34446319471968,0.19134446319471968,9753.915518072296,0.002866862401860017,0.25
2024-07-20,BTC With PM,BUY,SIGNAL,67197.23026171875,0.0021310796802791548,143.20265198178834,0.14320265198178833,9610.569663438526,0.004997942082139172,0.25
2024-07-21,BTC With PM,BUY,SIGNAL,68188.60069921875,0.0015582433548088919,106.25443391327457,0.10625443391327458,9504.208975091338,0.006556185436948064,0.25
2024-07-22,BTC With PM,BUY,SIGNAL,67619.042625,0.0011912248685337743,80.5494851613453,0.0805494851613453,9423.578940444831,0.0077474103054818375,0.25
2024-07-23,BTC With PM,BUY,SIGNAL,65960.6357109375,0.0009607974147582098,63.3748082668768,0.0633748082668768,9360.140757369687,0.008708207720240047,0.25
2024-07-24,BTC With PM,BUY,SIGNAL,65404.81887890625,0.0007437715619923583,48.646244299391384,0.048646244299391385,9311.445866825996,0.009451979282232405,0.25
2024-07-25,BTC With PM,BUY,SIGNAL,65810.11517578125,0.0005409386212250427,35.599232965848365,0.03559923296584837,9275.811034627182,0.009992917903457448,0.25
2024-07-26,BTC With PM,BUY,SIGNAL,67946.01853125,0.0003204434919559392,21.772859442656706,0.02177285944265671,9254.016402325084,0.010313361395413388,0.25
2024-07-27,BTC With PM,BUY,SIGNAL,67847.24260546875,0.0002441382148574262,16.564104692697853,0.016564104692697854,9237.435733527693,0.010557499610270814,0.25
2024-07-28,BTC With PM,BUY,SIGNAL,68289.99512109374,0.00016611360976415308,11.343897600341284,0.011343897600341284,9226.08049202975,0.010723613220034968,0.25
2024-07-29,BTC With PM,BUY,SIGNAL,66853.32401953124,0.0003608769647583457,24.12582465617464,0.02412582465617464,9201.93054154892,0.011084490184793313,0.5
2024-07-30,BTC With PM,BUY,SIGNAL,66234.1161328125,0.00022993212025620297,15.229350755713156,0.015229350755713156,9186.68596144245,0.011314422305049516,0.5
2024-07-31,BTC With PM,SELL,STOP,64586.940375000006,0.011314422305049516,730.7639187938032,0.7307639187938032,9916.71911631746,0.0,0.25
2024-08-23,BTC With PM,BUY,SIGNAL,64126.40264648437,0.005950487318927745,381.58334575635985,0.3815833457563599,9534.754187215343,0.005950487318927745,0.5
2024-08-24,BTC With PM,BUY,SIGNAL,64211.081683593744,0.0014836776265653143,95.26854527150589,0.09526854527150588,9439.390373398566,0.00743416494549306,0.25
2024-08-25,BTC With PM,BUY,SIGNAL,64365.70974023437,0.0011059208844829374,71.18338264629202,0.07118338264629202,9368.135807369628,0.008540085829975997,0.25
2024-08-26,BTC With PM,BUY,SIGNAL,62912.10048632812,0.0008941086384021192,56.250252504848135,0.056250252504848136,9311.829304612274,0.009434194468378116,0.25
2024-08-27,BTC With PM,SELL,STOP,59474.38074609375,0.009434194468378116,561.0928738450116,0.5610928738450116,9872.361085583441,0.0,0.0
2024-09-18,BTC With PM,BUY,SIGNAL,61680.50452734375,0.003079388741608722,189.93825121824815,0.18993825121824817,9682.232896113976,0.003079388741608722,0.25
2024-09-19,BTC With PM,BUY,SIGNAL,62971.92725976562,0.0022475170878627658,141.53048257197435,0.14153048257197434,9540.56088305943,0.005326905829471488,0.25
2024-09-20,BTC With PM,BUY,SIGNAL,63224.57305078125,0.0016739251497613137,105.83320291262412,0.10583320291262412,9434.621846943894,0.007000830979232802,0.25
2024-09-21,BTC With PM,BUY,SIGNAL,63426.537263671875,0.0012462537266316803,79.04555843219421,0.07904555843219421,9355.497242953266,0.008247084705864483,0.25
2024-09-22,BTC With PM,BUY,SIGNAL,63680.53529296874,0.0009233352607127031,58.79848365705779,0.05879848365705779,9296.639960812552,0.009170419966577185,0.25
2024-09-23,BTC With PM,BUY,SIGNAL,63361.46568164062,0.0007066187607254536,44.77240035770925,0.044772400357709255,9251.822788054485,0.00987703872730264,0.25
2024-09-24,BTC With PM,BUY,SIGNAL,64334.119734374995,0.00048747091682502805,31.361012330046908,0.03136101233004691,9220.43041471211,0.010364509644127667,0.25
2024-09-25,BTC With PM,BUY,SIGNAL,63174.716103515624,0.00041619402448775074,26.292939340993282,0.026292939340993284,9194.111182431776,0.010780703668615417,0.25
2024-09-26,BTC With PM,BUY,SIGNAL,65213.61004101562,0.00022459195608455062,14.64645224244679,0.01464645224244679,9179.450083737087,0.011005295624699967,0.25
2024-09-27,BTC With PM,BUY,SIGNAL,65823.55939453124,0.00014334277332329892,9.435331553622996,0.009435331553622996,9170.00531685191,0.011148638398023266,0.25
2024-09-28,BTC With PM,BUY,SIGNAL,65920.59226171875,0.00010355766792750909,6.826582803023795,0.006826582803023795,9163.171907466083,0.011252196065950775,0.25
