Asset,Ticker,Market Source,Tagged PM Markets,Without PM Final Equity,With PM Final Equity,With PM Total Return %,PM Beta vs Returns
BTC,BTC-USD,Yahoo Finance,1,9706.832829407145,9971.658341159939,-0.2834165884006143,0.053991521649190105
ETH,ETH-USD,Yahoo Finance,10,9792.2698721704,10148.778840976644,1.4877884097664356,-0.14721205814771973
SOL,SOL-USD,Yahoo Finance,120,9419.666852035098,9620.208527824012,-3.7979147217598803,0.08411317744252543
