index,timestamp,equity
0,2024-06-05,10000.0
1,2024-06-06,10000.0
2,2024-06-07,10000.0
3,2024-06-08,10000.0
4,2024-06-09,10000.0
5,2024-06-10,10000.0
6,2024-06-11,10000.0
7,2024-06-12,10000.0
8,2024-06-13,10000.0
9,2024-06-14,10000.0
10,2024-06-15,10000.0
11,2024-06-16,10000.0
12,2024-06-17,10000.0
13,2024-06-18,10000.0
14,2024-06-19,10000.0
15,2024-06-20,10000.0
16,2024-06-21,10000.0
17,2024-06-22,10000.0
18,2024-06-23,10000.0
19,2024-06-24,10000.0
20,2024-06-25,10000.0
21,2024-06-26,10000.0
22,2024-06-27,10000.0
23,2024-06-28,10000.0
24,2024-06-29,10000.0
25,2024-06-30,10000.0
26,2024-07-01,10000.0
27,2024-07-02,10000.0
28,2024-07-03,10000.0
29,2024-07-04,10000.0
30,2024-07-05,10000.0
31,2024-07-06,10000.0
32,2024-07-07,10000.0
33,2024-07-08,10000.0
34,2024-07-09,10000.0
35,2024-07-10,10000.0
36,2024-07-11,10000.0
37,2024-07-12,10000.0
38,2024-07-13,10000.0
39,2024-07-14,10000.0
40,2024-07-15,10000.0
41,2024-07-16,9997.174382075864
42,2024-07-17,9991.636650739234
43,2024-07-18,9991.142950036365
44,2024-07-19,9991.142950036365
45,2024-07-20,9991.597831813864
46,2024-07-21,9993.038418419692
47,2024-07-22,9980.747160262139
48,2024-07-23,9980.096574651025
49,2024-07-24,9971.780545212137
50,2024-07-25,9971.504806658053
51,2024-07-26,9971.504806658053
52,2024-07-27,9971.504806658053
53,2024-07-28,9971.504806658053
54,2024-07-29,9971.504806658053
55,2024-07-30,9971.504806658053
56,2024-07-31,9971.504806658053
57,2024-08-01,9971.504806658053
58,2024-08-02,9971.504806658053
59,2024-08-03,9971.504806658053
60,2024-08-04,9971.504806658053
61,2024-08-05,9971.504806658053
62,2024-08-06,9971.504806658053
63,2024-08-07,9971.504806658053
64,2024-08-08,9971.504806658053
65,2024-08-09,9971.504806658053
66,2024-08-10,9971.504806658053
67,2024-08-11,9971.504806658053
68,2024-08-12,9971.504806658053
69,2024-08-13,9971.504806658053
70,2024-08-14,9971.504806658053
71,2024-08-15,9971.504806658053
72,2024-08-16,9971.504806658053
73,2024-08-17,9971.504806658053
74,2024-08-18,9971.504806658053
75,2024-08-19,9971.504806658053
76,2024-08-20,9971.504806658053
77,2024-08-21,9971.504806658053
78,2024-08-22,9971.504806658053
79,2024-08-23,9971.504806658053
80,2024-08-24,9971.504806658053
81,2024-08-25,9971.504806658053
82,2024-08-26,9971.504806658053
83,2024-08-27,9971.504806658053
84,2024-08-28,9971.504806658053
85,2024-08-29,9971.504806658053
86,2024-08-30,9971.504806658053
87,2024-08-31,9971.504806658053
88,2024-09-01,9971.504806658053
89,2024-09-02,9971.504806658053
90,2024-09-03,9971.504806658053
91,2024-09-04,9971.504806658053
92,2024-09-05,9971.504806658053
93,2024-09-06,9971.504806658053
94,2024-09-07,9971.504806658053
95,2024-09-08,9971.504806658053
96,2024-09-09,9971.504806658053
97,2024-09-10,9971.504806658053
98,2024-09-11,9971.504806658053
99,2024-09-12,9971.504806658053
100,2024-09-13,9971.504806658053
101,2024-09-14,9971.504806658053
102,2024-09-15,9971.504806658053
103,2024-09-16,9971.504806658053
104,2024-09-17,9971.504806658053
105,2024-09-18,9971.504806658053
106,2024-09-19,9971.504806658053
107,2024-09-20,9971.504806658053
108,2024-09-21,9971.504806658053
109,2024-09-22,9971.504806658053
110,2024-09-23,9971.504806658053
111,2024-09-24,9971.504806658053
112,2024-09-25,9971.504806658053
113,2024-09-26,9971.504806658053
114,2024-09-27,9971.504806658053
115,2024-09-28,9969.911092570797
116,2024-09-29,9967.4217940952
117,2024-09-30,9966.92354170973
118,2024-10-01,9966.92354170973
119,2024-10-02,9966.92354170973
120,2024-10-03,9966.92354170973
121,2024-10-04,9966.92354170973
122,2024-10-05,9966.92354170973
123,2024-10-06,9966.92354170973
124,2024-10-07,9966.92354170973
125,2024-10-08,9966.92354170973
126,2024-10-09,9966.92354170973
127,2024-10-10,9966.92354170973
128,2024-10-11,9966.92354170973
129,2024-10-12,9966.92354170973
130,2024-10-13,9966.92354170973
131,2024-10-14,9966.92354170973
132,2024-10-15,9964.968022156205
133,2024-10-16,9965.403081154322
134,2024-10-17,9964.527580915044
135,2024-10-18,9969.307117330352
136,2024-10-19,9970.218019456317
137,2024-10-20,9982.745091310468
138,2024-10-21,9969.196396705991
139,2024-10-22,9960.1331055774
140,2024-10-23,9935.548114063688
141,2024-10-24,9934.718728098744
142,2024-10-25,9934.718728098744
143,2024-10-26,9934.718728098744
144,2024-10-27,9934.718728098744
145,2024-10-28,9934.718728098744
146,2024-10-29,9934.718728098744
147,2024-10-30,9934.718728098744
148,2024-10-31,9924.25415860806
149,2024-11-01,9923.972788403242
150,2024-11-02,9922.476230990473
151,2024-11-03,9922.20769061071
152,2024-11-04,9922.20769061071
153,2024-11-05,9922.20769061071
154,2024-11-06,9922.20769061071
155,2024-11-07,9922.20769061071
156,2024-11-08,9926.31726272349
157,2024-11-09,9945.328641418202
158,2024-11-10,9953.991072437499
159,2024-11-11,9985.04043212243
160,2024-11-12,9961.278409962073
161,2024-11-13,9951.390243376116
162,2024-11-14,9924.84267219067
163,2024-11-15,9934.08694387142
164,2024-11-16,9940.466130098808
165,2024-11-17,9928.310049751097
166,2024-11-18,9956.202891627
167,2024-11-19,9935.847406816936
168,2024-11-20,9927.57712021814
169,2024-11-21,9988.527257886632
170,2024-11-22,9982.160978728265
171,2024-11-23,9996.30506279702
172,2024-11-24,9989.10019711135
173,2024-11-25,10000.206777943058
174,2024-11-26,9980.75640015865
175,2024-11-27,10055.258876981372
176,2024-11-28,10054.023359551215
177,2024-11-29,10054.472234973151
178,2024-11-30,10064.837522628452
179,2024-12-01,10065.349542824217
180,2024-12-02,10055.561961835512
181,2024-12-03,10051.679746755344
182,2024-12-04,10090.08316584275
183,2024-12-05,10084.545641700382
184,2024-12-06,10120.915406555698
185,2024-12-07,10120.315716508536
186,2024-12-08,10120.879872160802
187,2024-12-09,10065.992518402847
188,2024-12-10,10048.991558244737
189,2024-12-11,10088.277289807038
190,2024-12-12,10098.105069512058
191,2024-12-13,10103.598308994366
192,2024-12-14,10095.232491750405
