entry_time,exit_time,qty,buy_cost_incl_fees,sell_proceeds_after_fee,realized_pnl,exit_reason,cum_equity,cum_return_pct
2024-07-15,2024-07-17,0.09715774623708243,337.60689902320746,328.7498490595732,-8.857049963634267,STOP,9991.142950036367,-0.08857049963633472
2024-07-19,2024-07-22,0.12610913010125963,444.26415330492705,433.2177779195856,-11.046375385341435,STOP,9980.096574651025,-0.1990342534897536
2024-07-23,2024-07-24,0.05511639518580237,192.20302782884724,183.61125983587507,-8.591767992972166,STOP,9971.504806658053,-0.2849519334194701
2024-09-27,2024-09-29,0.12494760035810867,336.36202921489587,331.7807642665725,-4.581264948323394,STOP,9966.923541709728,-0.3307645829027206
2024-10-14,2024-10-23,0.2204410321002899,584.4837737232682,552.2789601122824,-32.20481361098575,STOP,9934.718728098744,-0.6528127190125633
2024-10-30,2024-11-02,0.07189148268601923,191.3291124876015,178.81807499956838,-12.51103748803311,STOP,9922.20769061071,-0.7779230938928958
2024-11-07,2024-11-27,0.22529307615281557,690.9017513796465,822.717420320151,131.81566894050445,TARGET,10054.023359551215,0.5402335955121452
2024-11-28,2025-01-08,0.2046892939704098,748.5227542397779,679.843049709103,-68.67970453067494,STOP,9985.343655020539,-0.14656344979461208
2025-05-08,2025-06-22,0.23154376655689118,552.6458033556995,515.1552265867288,-37.490576768970755,STOP,9947.853078251568,-0.5214692174843185
2025-07-03,2025-08-09,0.21798545648341242,584.630403425725,928.0089614741865,343.3785580484615,TARGET,10291.23163630003,2.9123163630003
2025-08-10,2025-09-23,0.1688081363737251,747.9206039060854,702.1165466298031,-45.804057276282265,STOP,10245.427579023748,2.45427579023748
2025-10-06,2025-10-10,0.042027926642999244,197.31294054721087,161.27150169475317,-36.0414388524577,STOP,10209.38614017129,2.093861401712893
2026-01-07,2026-01-08,0.061993659143212025,196.61883166530433,192.1634529668281,-4.455378698476238,STOP,10204.930761472813,2.0493076147281317
2026-01-11,2026-01-20,0.21011010867564156,672.0274636076273,615.8755431114547,-56.15192049617258,STOP,10148.778840976642,1.4877884097664174
