Date,Adj Close,Close,High,Low,Open,Volume,Return_1D,Return_5D,Return_20D,LogReturn,SMA_20,SMA_50,EMA_12,EMA_26,Momentum_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Lower,BB_Z,BB_Width,ATR_14,RangePct,Volatility_20D,Drawdown,Volume_Z,RSI_Signal,Trend_Signal,MACD_Signal_Flag,Breakout_Signal,TechnicalScore,BaseDirection,TechnicalConfidence
2024-03-28,70744.953125,70744.953125,71546.0234375,68895.5078125,69452.7734375,34374900617,,,,,,,70744.953125,70744.953125,,,0.0,0.0,0.0,,,,,,0.03746579095637785,,0.0,,0,0,0,0,0.0,Flat,0.0
2024-03-29,69892.828125,69892.828125,70913.09375,69076.65625,70744.796875,25230851763,-0.01204502883045766,,,-0.012118158012204417,,,70613.85697115384,70681.83275462964,,,-67.9757834757911,-13.595156695158222,-54.38062678063288,,,,,,0.02627504923274272,,-0.01204502883045766,,0,0,-1,0,-0.25,Short,25.0
2024-03-30,69645.3046875,69645.3046875,70355.4921875,69601.0625,69893.4453125,17130241883,-0.0035414711944022903,,,-0.0035477570486820652,,,70464.84892751479,70605.05289780522,,,-140.20397029042942,-38.916919414212465,-101.28705087621697,,,,,,0.010832455840133695,,-0.015543842902221217,,0,0,-1,0,-0.25,Short,25.0
2024-03-31,71333.6484375,71333.6484375,71377.78125,69624.8671875,69647.78125,20050941373,0.02424203264779501,,,0.023952858696302478,,,70598.51039058944,70659.0229377826,,,-60.51254719316785,-43.23604497000354,-17.276502223164307,,,,,,0.02457345307433477,,0.0,,0,0,-1,0,-0.25,Short,25.0
2024-04-01,69702.1484375,69702.1484375,71342.09375,68110.6953125,71333.484375,34873527352,-0.022871394296192005,,,-0.023137002333257977,,,70460.60855165259,70588.14334516908,,,-127.53479351649003,-60.095794679300845,-67.43899883718919,,,,,,0.046360098073555164,,-0.022871394296192005,,0,0,-1,0,-0.25,Short,25.0
2024-04-02,65446.97265625,65446.97265625,69708.3828125,64586.59375,69705.0234375,50705240709,-0.061047985989492126,-0.07488845825353707,,-0.06299090436988572,,,69689.27995235988,70207.31588673063,,,-518.0359343707532,-151.68382261759135,-366.3521117531619,,,,,,0.07825860929276893,,-0.08252312772713,,0,0,-1,0,-0.25,Short,25.0
2024-04-03,65980.8125,65980.8125,66914.3203125,64559.8984375,65446.671875,34488018367,0.008156830210526378,-0.055971631567169444,,0.00812374307331999,,,69118.74649815066,69894.24156178762,,,-775.4950636369613,-276.44607082146536,-499.0489928154959,,,,,,0.03568343258883028,,-0.07503942465791535,,0,0,-1,0,-0.25,Short,25.0
2024-04-04,68508.84375,68508.84375,69291.2578125,65113.796875,65975.6953125,34439527442,0.038314642609167615,-0.016317839983604476,,0.03759886271186141,,,69024.91530612748,69791.61950165521,,,-766.7041955277236,-374.49769576271706,-392.2064997650066,,,,,,0.060976958722938596,,-0.039599890786113257,,0,0,-1,0,-0.25,Short,25.0
2024-04-05,67837.640625,67837.640625,68725.7578125,66011.4765625,68515.7578125,33748230056,-0.009797320875087778,-0.049009238824550994,,-0.009845630418288566,,,68842.2576628771,69646.88032560667,,,-804.6226627295691,-460.5226891560875,-344.09997357348163,,,,,,0.04001143354917497,,-0.049009238824550994,,0,0,-1,0,-0.25,Short,25.0
2024-04-06,68896.109375,68896.109375,69629.6015625,67491.71875,67840.5703125,19967785809,0.015602971156545964,-0.011564049036777546,,0.015482496362565016,,,68850.54254166524,69591.26766259877,,,-740.7251209335227,-516.5631755115745,-224.1619454219482,,,,,,0.031030530343354384,,-0.03417095740778886,,0,0,-1,0,-0.25,Short,25.0
2024-04-07,69362.5546875,69362.5546875,70284.4296875,68851.6328125,68897.109375,21204930369,0.006770270726916605,0.05982831401256683,,0.006747455363626304,,,68929.31364102443,69574.3259607396,,,-645.0123197151697,-542.2530043522936,-102.75931536287612,,,,,,0.020656633560502465,,-0.027632033313521043,,0,0,-1,0,-0.25,Short,25.0
