Variant,Total Return,Max Drawdown,Hit Rate,Average Exposure,Trades / Turnover Proxy
Technical Only,-0.26904908411220796,-0.4417228180098485,0.3767123287671233,0.7821917808219178,141.0
Technical + PM Filter,-0.14969520162423822,-0.24820513036637037,0.08356164383561644,0.17123287671232876,38.0
Technical + PM Sizing,-0.03855939493217897,-0.12348746970532243,0.36575342465753424,0.2476027397260274,69.25
