entry_time,exit_time,qty,buy_cost_incl_fees,sell_proceeds_after_fee,realized_pnl,exit_reason,cum_equity,cum_return_pct
2024-06-05,2024-06-09,0.011075783195982266,788.0984499306575,770.249338114991,-17.849111815666447,STOP,9982.150888184333,-0.1784911181566713
2024-06-10,2024-06-12,0.0113746341515317,791.1451465157215,775.0546021750313,-16.090544340690258,STOP,9966.060343843643,-0.3393965615635716
2024-06-13,2024-06-14,0.011483252550509991,767.7308367845047,756.8854065866722,-10.84543019783257,STOP,9955.21491364581,-0.44785086354189846
2024-06-15,2024-06-16,0.011568738373542086,766.8953640988296,769.7736896757931,2.878325576963448,TARGET,9958.093239222773,-0.41906760777226737
2024-06-17,2024-06-18,0.01151999308096049,767.1170945748153,749.2956880826432,-17.82140649217206,STOP,9940.271832730603,-0.5972816726939709
2024-07-15,2024-07-16,0.01178657557347391,765.744230790445,766.1219346229583,0.377703832513248,STOP,9940.649536563116,-0.5935046343688373
2024-07-19,2024-07-20,0.011461912978332375,765.773327030021,768.669542769334,2.896215739312993,STOP,9943.545752302429,-0.5645424769757119
2024-07-21,2024-07-25,0.011661394196665214,795.0822034307012,765.9039703835916,-29.17823304710953,STOP,9914.367519255318,-0.8563248074468174
2024-07-26,2024-07-28,0.011243085347864301,764.6854445189982,766.2558141744009,1.5703696554027147,STOP,9915.937888910721,-0.8406211108927891
2024-07-29,2024-07-31,0.011511814033167046,770.3124050244833,742.76933372168,-27.54307130280324,STOP,9888.394817607918,-1.116051823920825
2024-08-01,2024-08-02,0.011637633305392858,761.7479089886589,713.6542905919068,-48.09361839675205,STOP,9840.301199211166,-1.5969880078883398
2024-08-23,2024-08-24,0.011809266111810495,758.0430393990881,756.7703162870981,-1.2727231119899898,STOP,9839.028476099176,-1.6097152390082372
2024-08-25,2024-08-27,0.012013350227595693,773.6580061783117,713.7720789067262,-59.8859272715855,STOP,9779.14254882759,-2.208574511724091
2024-09-18,2024-09-19,0.012201247991798647,753.3317111293777,766.8005807440575,13.468869614679761,TARGET,9792.611418442271,-2.073885815577287
2024-09-20,2024-09-21,0.011919663941186478,754.3692792538978,754.5120965856178,0.14281733171992528,STOP,9792.754235773991,-2.0724576422600878
2024-09-22,2024-09-24,0.01188812816006308,757.782275789585,763.2837825912275,5.501506801642449,STOP,9798.255742575633,-2.0174425742436686
2024-09-25,2024-09-26,0.011935946587765681,754.8040871459318,776.8305609082038,22.026473762271962,STOP,9820.282216337904,-1.7971778366209583
2024-09-27,2024-09-28,0.0114813776123284,756.5008863373359,755.3466284822138,-1.1542578551221823,STOP,9819.127958482783,-1.8087204151721745
2024-09-29,2024-10-01,0.01189257104924571,780.8538530439533,722.423536931141,-58.43031611281231,STOP,9760.69764236997,-2.3930235763002927
2024-10-03,2024-10-04,0.012356676260207295,751.9108163143195,765.7976760734174,13.886859759097888,STOP,9774.584502129068,-2.254154978709321
2024-10-05,2024-10-06,0.012109084304391613,752.9805841157706,759.5393596452933,6.558775529522677,STOP,9781.143277658592,-2.1885672234140836
2024-10-07,2024-10-11,0.012450276728188868,775.4361290663502,776.2928496273212,0.8567205609709845,STOP,9781.999998219562,-2.1800000178043772
2024-10-12,2024-10-14,0.011965101475667478,757.2255130043208,789.0636099423632,31.83809693804244,STOP,9813.838095157604,-1.8616190484239632
2024-10-15,2024-10-16,0.011259834277508117,756.0044664507005,760.1664268185048,4.161960367804227,STOP,9818.000055525408,-1.8199994447459173
2024-10-17,2024-10-18,0.01120465510284533,756.3250811375074,765.4594039031064,9.134322765598995,STOP,9827.134378291008,-1.7286562170899196
2024-10-19,2024-10-20,0.01105711359616488,757.0287394556738,761.8156117571322,4.786872301458402,STOP,9831.921250592466,-1.6807874940753393
2024-10-21,2024-10-22,0.011225869672092955,757.3974939434839,755.0564600353546,-2.3410339081293614,STOP,9829.580216684337,-1.7041978331566314
2024-10-23,2024-10-24,0.011381268493489765,757.2171534820357,774.5960131812119,17.378859699176246,TARGET,9846.959076383513,-1.5304092361648691
2024-10-25,2024-10-26,0.011365425888268822,758.5559258794407,760.5084579949126,1.9525321154719677,STOP,9848.911608498986,-1.510883915010145
2024-10-27,2024-10-28,0.011152325137224068,758.7063382854609,778.4649834892293,19.758645203768424,STOP,9868.670253702754,-1.3132974629724594
2024-10-29,2024-11-05,0.011133243069265003,808.6354181465856,771.0389592860764,-37.59645886050919,STOP,9831.073794842245,-1.6892620515775523
2024-11-06,2024-11-07,0.009997445168885566,757.3322105827767,757.7167670763865,0.38455649360980715,STOP,9831.458351335854,-1.6854164866414612
2024-11-08,2024-11-09,0.009879448791582205,757.3618347139222,757.395466591059,0.03363187713671323,STOP,9831.49198321299,-1.6850801678700917
2024-11-10,2024-11-11,0.009397171022830619,757.3644255299806,832.293120894346,74.92869536436535,TARGET,9906.420678577357,-0.9357932142264327
2024-11-12,2024-11-13,0.008663363232579274,763.1365228288688,783.5867635001601,20.45024067129134,STOP,9926.870919248648,-0.7312908075135237
2024-11-14,2024-11-15,0.008751431589929474,764.7118976350944,795.762899111737,31.051001476642682,TARGET,9957.92192072529,-0.42078079274710034
2024-11-16,2024-11-18,0.008519063897801554,772.5875498702743,770.1819188178882,-2.4056310523860702,STOP,9955.516289672903,-0.4448371032709656
