timestamp,BTC,ETH,SOL,PortfolioEquity
2024-06-05,0.5,0.3,0.2,10000.0
2024-06-06,0.49988304710113934,0.3,0.2,9998.830471011393
2024-06-07,0.4992928681663102,0.3,0.2,9992.928681663103
2024-06-08,0.4992675420124898,0.3,0.2,9992.675420124897
2024-06-09,0.49943194696223164,0.3,0.2,9994.319469622316
2024-06-10,0.49936675021348803,0.3,0.2,9993.66750213488
2024-06-11,0.49831933860417493,0.3,0.2,9983.193386041748
2024-06-12,0.49875610540198684,0.3,0.2,9987.561054019869
2024-06-13,0.4980427994501723,0.3,0.2,9980.427994501724
2024-06-14,0.497684748409162,0.3,0.2,9976.84748409162
2024-06-15,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-16,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-17,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-18,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-19,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-20,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-21,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-22,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-23,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-24,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-25,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-26,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-27,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-28,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-29,0.49763719578514504,0.3,0.2,9976.37195785145
2024-06-30,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-01,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-02,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-03,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-04,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-05,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-06,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-07,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-08,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-09,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-10,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-11,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-12,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-13,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-14,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-15,0.49763719578514504,0.3,0.2,9976.37195785145
2024-07-16,0.49767544944410136,0.2999152314622759,0.20000908798790654,9975.997688942838
2024-07-17,0.4973079759000159,0.299749099522177,0.1997961631403128,9968.532385625056
2024-07-18,0.4972725662865105,0.2997342885010909,0.1999888486301855,9969.957034177869
2024-07-19,0.4972725662865105,0.2997342885010909,0.20055709864190652,9975.63953429508
2024-07-20,0.49732322282747543,0.29974793495441593,0.20082151264829592,9978.926704301874
2024-07-21,0.4975601012107474,0.29979115255259076,0.2014199003713938,9987.71154134732
2024-07-22,0.4973655203446916,0.29942241480786413,0.20110731078068556,9978.952459332413
2024-07-23,0.4967173832472816,0.29940289723953073,0.20075778380322126,9968.780642900338
2024-07-24,0.49647074345080283,0.2991534163563641,0.20105415825580733,9966.783180629742
2024-07-25,0.4966585424768727,0.2991451441997416,0.200713143089863,9965.168297664773
2024-07-26,0.4977225349922077,0.2991451441997416,0.2013409629219122,9982.086421138614
2024-07-27,0.49766999216385477,0.2991451441997416,0.20139426719846637,9982.094035620628
2024-07-28,0.497902351237921,0.2991451441997416,0.20143925514023572,9984.867505778982
2024-07-29,0.4971315702915988,0.2991451441997416,0.20132095313453668,9975.976676258771
2024-07-30,0.49678675247337906,0.2991451441997416,0.20108639319544636,9970.182898685669
2024-07-31,0.49589077224890105,0.2991451441997416,0.20058186894245456,9956.177853910973
2024-08-01,0.495835955815873,0.2991451441997416,0.200294906640023,9952.760066556377
2024-08-02,0.495835955815873,0.2991451441997416,0.19925636049102877,9942.374605066434
2024-08-03,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-04,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-05,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-06,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-07,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-08,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-09,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-10,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-11,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-12,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-13,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-14,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-15,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-16,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-17,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-18,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-19,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-20,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-21,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-22,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-23,0.495835955815873,0.2991451441997416,0.1992405493130397,9942.216493286543
2024-08-24,0.49583252331843125,0.2991451441997416,0.19942559997717701,9944.032674953498
2024-08-25,0.49588282716781096,0.2991451441997416,0.19934366104423926,9943.716324117919
2024-08-26,0.49525710210747775,0.2991451441997416,0.1992723782968149,9936.746246040342
2024-08-27,0.49366014326187996,0.2991451441997416,0.19868658956447977,9914.918770261014
2024-08-28,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-08-29,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-08-30,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-08-31,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-01,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-02,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-03,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-04,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-05,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-06,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-07,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-08,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-09,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-10,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-11,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-12,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-13,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-14,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-15,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-16,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-17,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-18,0.49361805427917205,0.2991451441997416,0.1986741792202052,9914.373776991188
2024-09-19,0.49380255154438574,0.2991451441997416,0.1986741792202052,9916.218749643323
2024-09-20,0.4938591959145933,0.2991451441997416,0.1986741792202052,9916.7851933454
2024-09-21,0.493921920282276,0.2991451441997416,0.1986741792202052,9917.412437022229
2024-09-22,0.4940206776736956,0.2991451441997416,0.1986741792202052,9918.400010936424
2024-09-23,0.4938700415188141,0.2991451441997416,0.1986741792202052,9916.893649387608
2024-09-24,0.49434679118200203,0.2991451441997416,0.1986741792202052,9921.661146019487
2024-09-25,0.49374390725833983,0.2991451441997416,0.19854678709368123,9914.358385517626
2024-09-26,0.4948404219408208,0.2991451441997416,0.19854124074129906,9925.268068818614
2024-09-27,0.49517478955451116,0.2991451441997416,0.19858885902797138,9929.087927822242
2024-09-28,0.495228144208884,0.2990973327771239,0.19854889199330578,9928.743689793138
2024-09-29,0.4950856612329126,0.299022653822856,0.19864231050132009,9927.506255570886
2024-09-30,0.49377782039122986,0.2990077062512919,0.1983039539246702,9910.89480567192
2024-10-01,0.49232221677489535,0.2990077062512919,0.19780893437163094,9891.388573978182
2024-10-02,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-03,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-04,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-05,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-06,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-07,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-08,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-09,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-10,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-11,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-12,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-13,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-14,0.4922689986669334,0.2990077062512919,0.19779429285353123,9890.709977717566
2024-10-15,0.4925258077268499,0.29894904066468614,0.19772276743213463,9891.976158236706
2024-10-16,0.49272244978638885,0.2989620924346296,0.19769769842857648,9893.822406495949
2024-10-17,0.4926305541702463,0.29893582742745134,0.19753041959159062,9890.968011892883
2024-10-18,0.49308114528301805,0.29907921351991057,0.19772936429815136,9898.8972310108
2024-10-19,0.4930518451210979,0.2991065405836895,0.1979284588360191,9900.868445408065
2024-10-20,0.4933651046194745,0.299482352739314,0.19833311979120982,9911.805771499983
2024-10-21,0.49253422784593215,0.2990758919011797,0.19829273486446933,9899.028546115813
2024-10-22,0.4925280138705867,0.29880399316732204,0.19835101381107223,9896.83020848981
2024-10-23,0.4920167633241466,0.2980664434219106,0.1985561570328279,9886.393637788851
2024-10-24,0.4929739465318072,0.2980415618429623,0.1989038642710687,9899.193726458381
