entry_time,exit_time,qty,buy_cost_incl_fees,sell_proceeds_after_fee,realized_pnl,exit_reason,cum_equity,cum_return_pct
2024-06-05,2024-06-14,0.009608178964000541,680.5514341761801,633.2953498790797,-47.256084297100415,STOP,9952.7439157029,-0.4725608429709973
2024-07-15,2024-07-17,0.0073657906947691126,478.8700063116269,471.5774163389367,-7.292589972690223,STOP,9945.45132573021,-0.5454867426979035
2024-07-19,2024-07-31,0.011314422305049516,758.765364287759,730.0331548750094,-28.732209412749626,STOP,9916.71911631746,-0.8328088368254067
2024-08-23,2024-08-27,0.009434194468378116,604.8898117051849,560.5317809711665,-44.35803073401837,STOP,9872.361085583441,-1.276389144165587
2024-09-18,2024-10-01,0.011667427477791776,735.7281267037337,708.7470144589565,-26.981112244777137,STOP,9845.379973338664,-1.5462002666133594
2024-10-14,2024-10-28,0.011225652474102281,750.8633559412868,783.5834465352607,32.72009059397385,TARGET,9878.100063932638,-1.2189993606736242
2024-10-29,2024-11-06,0.010526331644429105,757.9823129420795,795.0081166912098,37.02580374913032,STOP,9915.125867681769,-0.8487413231823121
2024-11-07,2024-11-19,0.008486285419336109,658.6355894334977,782.4806588891873,123.84506945568967,TARGET,10038.970937137457,0.3897093713745744
2024-11-20,2025-01-09,0.007530281852247276,735.0788663298341,695.3865828688502,-39.69228346098396,STOP,9999.278653676474,-0.007213463235257222
2025-01-15,2025-02-02,0.007459280737423302,754.9736483310477,727.5968312243064,-27.376817106741328,STOP,9971.901836569732,-0.2809816343026796
2025-04-21,2025-05-06,0.007978598789265006,737.101104752324,771.1899862900286,34.08888153770465,TARGET,10005.990718107438,0.05990718107437715
2025-05-07,2025-05-18,0.007274359617081876,728.5010867400274,773.165437983156,44.664351243128635,TARGET,10050.655069350567,0.5065506935056692
2025-05-21,2025-07-02,0.0071691986009012176,783.1361289572194,779.2638259661568,-3.872302991062611,STOP,10046.782766359504,0.4678276635950351
2025-07-03,2025-07-10,0.006946425981836157,757.9520669738861,804.4883794142465,46.53631244036046,TARGET,10093.319078799865,0.9331907879986466
2025-07-11,2025-08-13,0.00644807800148422,763.5598260657049,794.1395354819829,30.57970941627798,TARGET,10123.898788216142,1.2389878821614184
2025-08-14,2025-08-19,0.004750081545444434,561.7135645504584,535.1536364063943,-26.559928144064088,STOP,10097.338860072077,0.9733886007207729
2025-09-11,2025-09-21,0.006314297429593232,732.6951414775308,726.9852199634738,-5.709921514056987,STOP,10091.62893855802,0.9162893855802032
2025-10-01,2025-10-10,0.006315283655159404,759.1709890461274,713.9087288549125,-45.262260191214864,STOP,10046.366678366807,0.4636667836680681
2025-10-26,2025-10-28,0.00295846024206255,338.7209225759353,333.675223082249,-5.0456994936863,STOP,10041.32097887312,0.4132097887312012
2026-01-05,2026-01-07,0.003602546805210694,338.48611797078325,328.4482928641701,-10.037825106613127,STOP,10031.283153766506,0.3128315376650607
2026-01-13,2026-01-20,0.008024028796587972,767.1715078317703,707.546695225204,-59.624812606566366,STOP,9971.65834115994,-0.2834165884005961
