AssetReturn,Spot Only,Perp Hedge,Option Floor Proxy,PM Overlay Hedge
-0.2,-153.83823821492808,-76.91911910746404,-69.22720719671763,23.075735732239195
-0.195,-149.99228225955486,-74.99614112977743,-69.22720719671763,26.921691687612423
-0.19,-146.14632630418166,-73.07316315209083,-69.22720719671763,30.767647642985622
-0.185,-142.30037034880846,-71.15018517440423,-69.22720719671763,34.61360359835882
-0.18000000000000002,-138.45441439343526,-69.22720719671763,-69.22720719671763,38.45955955373202
-0.17500000000000002,-134.60845843806206,-67.30422921903103,-69.22720719671763,42.30551550910522
-0.17,-130.76250248268886,-65.38125124134443,-69.22720719671763,46.15147146447842
-0.165,-126.91654652731566,-63.45827326365783,-69.22720719671763,49.99742741985162
-0.16,-123.07059057194245,-61.53529528597122,-69.22720719671763,53.84338337522483
-0.15500000000000003,-119.22463461656926,-59.61231730828463,-69.22720719671763,57.68933933059802
-0.15000000000000002,-115.37867866119606,-57.68933933059803,-69.22720719671763,61.535295285971216
-0.14500000000000002,-111.53272270582286,-55.76636135291143,-69.22720719671763,65.38125124134442
-0.14,-107.68676675044965,-53.843383375224825,-69.22720719671763,69.22720719671763
-0.135,-103.84081079507645,-51.920405397538225,-69.22720719671763,73.07316315209083
-0.13,-99.99485483970324,-49.99742741985162,-69.22720719671763,76.91911910746404
-0.125,-96.14889888433004,-48.07444944216502,-69.22720719671763,80.76507506283724
-0.12000000000000001,-92.30294292895684,-46.15147146447842,-69.22720719671763,84.61103101821044
-0.115,-88.45698697358364,-44.22849348679182,-69.22720719671763,88.45698697358364
-0.11000000000000001,-84.61103101821044,-42.30551550910522,-69.22720719671763,92.30294292895684
-0.10500000000000001,-80.76507506283724,-40.38253753141862,-69.22720719671763,96.14889888433004
-0.1,-76.91911910746404,-38.45955955373202,-69.22720719671763,99.99485483970324
-0.09500000000000001,-73.07316315209084,-36.53658157604542,-69.22720719671763,103.84081079507644
-0.09000000000000001,-69.22720719671763,-34.613603598358814,-69.22720719671763,107.68676675044965
-0.085,-65.38125124134443,-32.690625620672215,-69.22720719671763,111.53272270582285
-0.08000000000000002,-61.53529528597124,-30.76764764298562,-69.22720719671763,115.37867866119603
-0.07500000000000001,-57.68933933059803,-28.844669665299016,-65.38125124134443,119.22463461656925
-0.07,-53.843383375224825,-26.921691687612412,-61.53529528597123,123.07059057194246
-0.065,-49.99742741985162,-24.99871370992581,-57.689339330598024,126.91654652731566
-0.06,-46.15147146447842,-23.07573573223921,-53.843383375224825,130.76250248268886
